,PERSON_ID,TEAM_ID,Location,GAME_ID,Against_Team_ID,5_g_d,d_rest,MA_20,MA_10,MA_5,MIN_20,MIN_10,MIN_5,home_aff,away_aff,EXP_SCO,DISPLAY_FIRST_LAST,EXP_SCO_L,MIN_COV_20,SCO_COV_20,multi_cov,TEAM_ABBREVIATION,price,per_price,
74,203524,1610612740,AWAY,21700635,1610612752,9,276,20.84,19.7,,32.98,33.24,,1.048524783,0.951475217,18.64,Solomon Hill,17.73549805,0.182,0.405,,NOP,,0.00,
23,203476,1610612750,HOME,21700637,1610612757,8,3,29.51,29.26,31.82,19.76,19.07,19.58,1.033800799,0.999764223,16.33,Gorgui Dieng,16.88196705,0.155,0.374,,MIN,,0.00,
16,1626159,1610612748,HOME,21700634,1610612749,11,31,24.99,,,21.89,,,0.965787051,1.039870738,15.2,Justise Winslow,14.67996317,0.348,0.399,,MIA,,0.00,
112,1626202,1610612754,AWAY,21700636,1610612756,11,3,22.44,27.72,30.5,11.2,14.08,16.34,0.790630272,1.414719384,10.36,Joe Young,14.65649282,0.602,0.633,,IND,,0.00,
8,203585,1610612748,HOME,21700634,1610612749,11,94,19.36,16.45,22.78,24.52,21.7,24.02,1.022510953,0.984207818,12.7,Rodney McGruder,12.98588911,0.266,0.462,,MIA,,0.00,
126,203141,1610612749,AWAY,21700634,1610612748,10,67,24.81,24.85,29.44,15.48,15.92,16.39,0.891030418,1.064813093,11.67,Mirza Teletovic,12.42636879,0.395,0.605,,MIL,,0.00,
83,1627735,1610612757,AWAY,21700637,1610612750,12,92,26.16,28.76,22.01,12.45,13.79,18.26,1.025243155,1.028576546,10.57,Wade Baldwin IV,10.87205409,0.565,0.605,,POR,,0.00,
65,201582,1610612740,AWAY,21700635,1610612752,189,92,27.99,23.44,10.87,14.93,18.56,15.16,0.989879698,0.969794166,9.35,Alexis Ajinca,9.067575453,0.595,0.5,,NOP,,0.00,
19,201166,1610612750,HOME,21700637,1610612757,8,3,28.89,21.26,25.26,10.6,11.59,10.75,0.975445416,1.023326855,7.67,Aaron Brooks,7.481666339,0.7,0.902,,MIN,,0.00,
104,1628500,1610612754,AWAY,21700636,1610612756,2,95,17.39,17.39,17.39,13.4,13.4,13.4,0.89703229,1.10296771,6.47,Ben Moore,7.136201083,1.122,0.146,,IND,,0.00,
107,203922,1610612754,AWAY,21700636,1610612756,35,265,26.32,21.15,16.45,14.89,10.86,13.13,1.073308636,0.926691364,7.67,Glenn Robinson III,7.107722761,0.405,0.336,,IND,,0.00,
128,1626173,1610612749,AWAY,21700634,1610612748,9,28,18.41,37.1,,11.94,7.18,,0.996588267,0.952841209,7.37,Rashad Vaughn,7.022439707,0.725,0.86,,MIL,,0.00,
13,1628476,1610612748,HOME,21700634,1610612749,12,10,23.32,20.85,21.78,8.78,11.7,11.31,1.072275975,0.927724025,6.47,Derrick Walton Jr.,6.93762556,0.92,0.36,,MIA,,0.00,
117,1628425,1610612749,AWAY,21700634,1610612748,14,3,26.68,23.71,32.91,8.65,9.78,10.95,1.067952298,0.915059627,7.55,Sterling Brown,6.908700187,0.551,0.448,,MIL,,0.00,
14,1627855,1610612748,HOME,21700634,1610612749,8,68,14.22,17.38,,11.56,15.67,,0.887755279,1.152145729,5.98,Okaro White,5.308776571,0.639,0.665,,MIA,,0.00,
18,202357,1610612750,HOME,21700637,1610612757,8,3,15.07,15.07,13.93,11.62,11.62,12.22,1.075191144,0.951691008,4.82,Nemanja Bjelica,5.182421314,0.339,0.829,,MIN,,0.00,
43,201149,1610612752,HOME,21700635,1610612740,30,11,34.64,20.56,13.29,7.05,6.16,7.39,1.008362524,0.978999225,4.35,Joakim Noah,4.386376981,0.577,0.612,,NYK,,0.00,
97,203912,1610612757,AWAY,21700637,1610612750,18,292,25.9,57.45,,5.97,1.88,,1.203583351,0.842287078,4.54,CJ Wilcox,3.823983336,0.746,0.789,,POR,,0.00,
66,2754,1610612740,AWAY,21700635,1610612752,10,34,22.26,0,,11.04,1.27,,0.944995355,1.0594821,1.9,Tony Allen,2.013015989,0.543,0.433,,NOP,,0.00,
36,1626195,1610612752,HOME,21700635,1610612740,35,6,23.91,10.76,10.76,6.86,3.98,3.98,0.935689861,1.010554798,2.08,Willy Hernangomez,1.946234911,0.861,0.952,,NYK,,0.00,
27,203498,1610612750,HOME,21700637,1610612757,44,3,21.49,21.49,22.72,3.16,3.16,2.85,0.954151209,1.059033098,1.86,Shabazz Muhammad,1.774721249,0.436,1.062,,MIN,,0.00,
93,203994,1610612757,AWAY,21700637,1610612750,9,3,40.09,40.57,45.48,26.94,25.71,25.21,0.990307597,1.009692403,30.31,Jusuf Nurkic,30.60377675,0.177,0.314,0.056,POR,610,19.93,
102,202709,1610612754,AWAY,21700636,1610612756,11,3,23.08,24.96,26.78,26.75,27.86,27.73,0.901449536,1.180423906,19.01,Cory Joseph,22.43985845,0.144,0.381,0.055,IND,450,20.05,SG
21,202710,1610612750,HOME,21700637,1610612757,8,3,42.99,45.1,46.54,37.42,35.98,33.84,1.066161504,0.921837726,44.56,Jimmy Butler,47.50815663,0.13,0.242,0.031,MIN,960,20.21,
81,200765,1610612740,AWAY,21700635,1610612752,12,3,35.51,33.58,34.1,26.75,24.45,26.89,1.049027785,0.974526718,24.87,Rajon Rondo,24.23647947,0.271,0.348,0.094,NOP,500,20.63,
122,203114,1610612749,AWAY,21700634,1610612748,8,3,32.38,30.46,32.36,37.51,37.15,33.9,0.959000024,1.073937087,31.9,Khris Middleton,34.25859306,0.104,0.183,0.019,MIL,710,20.72,SF
11,1626196,1610612748,HOME,21700634,1610612749,8,3,28.54,28.47,25.92,35.67,36.98,38.32,1.05838618,0.94161382,28.4,Josh Richardson,30.05816752,0.101,0.271,0.027,MIA,630,20.96,
46,204001,1610612752,HOME,21700635,1610612740,9,3,36.72,36.65,29.67,33.08,36.8,38.15,1.074518912,0.918813085,34.36,Kristaps Porzingis,36.92046982,0.286,0.3,0.086,NYK,780,21.13,
26,1626145,1610612750,HOME,21700637,1610612757,8,3,25.44,24.45,19.12,20.2,26.59,29.3,1.014362766,0.96679762,16.21,Tyus Jones,16.44282044,0.429,0.419,0.180,MIN,400,24.33,
1,201609,1610612748,HOME,21700634,1610612749,8,3,34.21,36.6,37.35,30.83,33.48,36.1,0.952082572,1.047917428,33.52,Goran Dragic,31.91380781,0.165,0.265,0.044,MIA,690,21.62,
59,202328,1610612756,HOME,21700636,1610612754,28,10,39.5,36.84,33.13,26.49,31.1,34.77,0.988223379,1.011448364,31.21,Greg Monroe,30.84245167,0.176,0.1,0.018,PHX,670,21.72,
114,203507,1610612749,AWAY,21700634,1610612748,8,3,46.76,43.45,47.38,37.9,36.43,33.87,0.97890503,0.998329383,45.95,Giannis Antetokounmpo,45.87323513,0.1,0.199,0.020,MIL,1000,21.80,PF
31,203952,1610612750,HOME,21700637,1610612757,8,3,25.86,29.87,29.98,35.63,35.67,36.1,1.029437674,1.01204894,28.41,Andrew Wiggins,29.24632431,0.092,0.328,0.030,MIN,640,21.88,
30,1626157,1610612750,HOME,21700637,1610612757,8,3,42.21,44.02,42.5,36.99,34.81,35.57,1.068853818,0.923850553,42.66,Karl-Anthony Towns,45.59730388,0.133,0.257,0.034,MIN,1000,21.93,
51,2199,1610612756,HOME,21700636,1610612754,10,6,28.51,26.49,27,26.09,26.59,27.91,0.976982424,0.973098081,20.4,Tyson Chandler,19.93044145,0.212,0.311,0.066,PHX,440,22.08,
72,203076,1610612740,AWAY,21700635,1610612752,11,5,46.17,48.89,49.44,34.25,34.87,35.01,1.01820225,0.984911321,46.44,Anthony Davis,45.73928174,0.195,0.208,0.041,NOP,1010,22.08,
91,203468,1610612757,AWAY,21700637,1610612750,9,3,32.68,36.55,39.77,37.02,36.31,35.23,1.02388478,0.97611522,36.52,CJ McCollum,35.64772785,0.083,0.223,0.019,POR,800,22.44,
63,203933,1610612756,HOME,21700636,1610612754,10,6,32.48,36.34,36.92,33.3,34,34.42,1.016228929,0.984881429,33.2,TJ Warren,33.73880045,0.165,0.266,0.044,PHX,760,22.53,
41,201584,1610612752,HOME,21700635,1610612740,9,3,24.78,25.04,23.67,33.33,36.22,36.81,1.08072044,0.919974587,24.12,Courtney Lee,26.06697701,0.195,0.349,0.068,NYK,590,22.63,
58,203458,1610612756,HOME,21700636,1610612754,8,6,38.48,34.02,33.98,18.49,17.35,14.08,0.901044341,1.09845335,16.41,Alex Len,14.78613763,0.328,0.298,0.098,PHX,400,27.05,
113,201152,1610612754,AWAY,21700636,1610612756,11,3,26.21,23.21,24.36,31.08,27.77,26.77,1.026064581,1.018075342,19.5,Thaddeus Young,19.85246916,0.178,0.278,0.049,IND,450,22.67,
99,202711,1610612754,AWAY,21700636,1610612756,13,3,21.98,24.23,26.28,31.58,29.9,27.55,1.005127619,0.990064092,19.92,Bojan Bogdanovic,19.72207672,0.168,0.29,0.049,IND,450,22.82,
116,1627763,1610612749,AWAY,21700634,1610612748,8,3,27.96,28.87,29.21,31.15,31.57,33.45,1.05710812,0.981455865,25.54,Malcolm Brogdon,25.06638279,0.164,0.249,0.041,MIL,580,23.14,
35,203501,1610612752,HOME,21700635,1610612740,8,45,30.81,32.18,30.21,34.36,34.36,35.96,1.082052323,0.957900314,30.11,Tim Hardaway Jr.,32.58059545,0.145,0.382,0.055,NYK,760,23.33,
75,201950,1610612740,AWAY,21700635,1610612752,12,3,33.3,30.75,27.42,37.19,35.3,36.97,0.990390655,1.048457011,30.9,Jrue Holiday,32.39732163,0.103,0.243,0.025,NOP,760,23.46,
70,202326,1610612740,AWAY,21700635,1610612752,12,3,48.7,48.77,42.53,36.04,36.35,38.06,1.077019572,0.935701278,47.73,DeMarcus Cousins,44.66102202,0.121,0.188,0.023,NOP,1050,23.51,
49,1626164,1610612756,HOME,21700636,1610612754,8,6,37.71,39.54,35.08,34.73,35.56,35.21,0.99224466,1.037060779,36.58,Devin Booker,36.29630966,0.122,0.249,0.030,PHX,860,23.69,
105,203506,1610612754,AWAY,21700636,1610612756,19,3,44.85,43.52,47.12,34.97,34.63,32.49,1.022757626,0.951459906,42.69,Victor Oladipo,40.61782337,0.153,0.294,0.045,IND,970,23.88,
25,201959,1610612750,HOME,21700637,1610612757,8,3,27.23,27.23,25.95,34.48,33.86,32.29,1.063167837,0.956708914,24.97,Taj Gibson,26.54730088,0.122,0.294,0.036,MIN,640,24.11,
45,203124,1610612752,HOME,21700635,1610612740,9,3,40.54,42.23,43.01,17.25,17.54,20.72,0.90029393,1.023425961,21.55,Kyle O'Quinn,19.40133419,0.285,0.274,0.078,NYK,470,24.23,
22,2037,1610612750,HOME,21700637,1610612757,8,3,27.89,27.75,30.14,20.37,20.53,18.91,0.939593446,1.006845647,15.83,Jamal Crawford,14.87376425,0.154,0.288,0.044,MIN,380,25.55,
119,203089,1610612749,AWAY,21700634,1610612748,8,3,30.58,30.99,28.14,25.68,26.31,26.18,0.980107849,1.100859489,21.64,John Henson,23.82259935,0.179,0.296,0.053,MIL,580,24.35,
2,201961,1610612748,HOME,21700634,1610612749,8,3,25.01,24.15,25.94,30,33.79,33.96,1.055318237,0.944681763,22.66,Wayne Ellington,23.91351124,0.194,0.356,0.069,MIA,590,24.67,
10,203482,1610612748,HOME,21700634,1610612749,8,3,29.25,29.01,25.32,28.9,28.89,30.45,1.048191675,0.951808325,22.76,Kelly Olynyk,23.85684252,0.173,0.283,0.049,MIA,590,24.73,
